"Model","Region","Scenario","Year","Item","Variable","value"
"FAO","USA","FAO Historical","2008","Maize","YILD",9.659619066
"FAO","WLD","FAO Historical","2008","Maize","YILD",5.105707654
"FAO","ANZ","FAO Historical","2009","Maize","YILD",7.12144249860699
"FAO","BRA","FAO Historical","2009","Maize","YILD",3.714454824
"FAO","CHN","FAO Historical","2009","Maize","YILD",5.25922945
"FAO","EUR","FAO Historical","2009","Maize","YILD",6.69324037097392
"FAO","IND","FAO Historical","2009","Maize","YILD",2.023760531
"FAO","OSA","FAO Historical","2009","Maize","YILD",3.3373255349262
"FAO","SEA","FAO Historical","2009","Maize","YILD",3.73681848444909
"FAO","SSA","FAO Historical","2009","Maize","YILD",1.82162111558123
"FAO","USA","FAO Historical","2009","Maize","YILD",10.33760994
"FAO","WLD","FAO Historical","2009","Maize","YILD",5.171378426
"FAO","ANZ","FAO Historical","2010","Maize","YILD",6.75045059166735
"FAO","BRA","FAO Historical","2010","Maize","YILD",4.366654849
"FAO","CHN","FAO Historical","2010","Maize","YILD",5.459791767
"FAO","EUR","FAO Historical","2010","Maize","YILD",6.9686898537064
"FAO","IND","FAO Historical","2010","Maize","YILD",2.540078567
"FAO","OSA","FAO Historical","2010","Maize","YILD",3.87273921086089
"FAO","SEA","FAO Historical","2010","Maize","YILD",3.80750707703574
"FAO","SSA","FAO Historical","2010","Maize","YILD",1.91601302558315
"FAO","USA","FAO Historical","2010","Maize","YILD",9.592271994
"FAO","WLD","FAO Historical","2010","Maize","YILD",5.19302865
